Geom;Label;geo_point_2d
"{""coordinates"": [[-123.04806364763496, 49.25448724825207], [-123.04768711200862, 49.25448470571506]], ""type"": ""LineString""}";6' P.U. EASE.;49.25448597698356, -123.04787537982179
"{""coordinates"": [[-123.04941311627144, 49.25451048932361], [-123.04903520620249, 49.25450796076314]], ""type"": ""LineString""}";R.O.W.;49.25450922504338, -123.04922416123696
"{""coordinates"": [[-123.04969021966143, 49.256777147086936], [-123.0497058778675, 49.25676868484956], [-123.04971947330617, 49.256758874215514], [-123.04973073130411, 49.25674789520802]], ""type"": ""LineString""}";;49.256763762730984, -123.04971138457466
"{""coordinates"": [[-123.0508901180089, 49.25560812827437], [-123.05087541550792, 49.255609942788006], [-123.05086098849144, 49.255612377848465], [-123.05084669954424, 49.25561544251153], [-123.05083282342137, 49.25561904670419], [-123.05081936021475, 49.25562328037873], [-123.05080630992404, 49.2556281435353], [-123.05079380978822, 49.255633456209345], [-123.05078187364177, 49.255639308347156], [-123.05077047399976, 49.25564569996096], [-123.0507597619362, 49.25565254103239], [-123.05074987496738, 49.2556599214534], [-123.05074053796854, 49.25566757148851], [-123.05073216339652, 49.255675670861095]], ""type"": ""LineString""}";;49.2556330225108, -123.05080714781178
"{""coordinates"": [[-123.05301759480047, 49.253133963192774], [-123.05302140783127, 49.25283217178176]], ""type"": ""LineString""}";4' SEW. EASE.;49.252983067487264, -123.05301950131589
"{""coordinates"": [[-123.05426596790981, 49.2511724521224], [-123.0542659383411, 49.25114547546016]], ""type"": ""LineString""}";;49.25115896379128, -123.05426595312545
"{""coordinates"": [[-123.05367921103057, 49.25117677408307], [-123.05367986882952, 49.25114978810615]], ""type"": ""LineString""}";;49.251163281094605, -123.05367953993004
"{""coordinates"": [[-123.05441699605272, 49.25228417264493], [-123.05441698418788, 49.25227337838408]], ""type"": ""LineString""}";EASE.;49.252278775514505, -123.0544169901203
"{""coordinates"": [[-123.05302160774333, 49.24535860428805], [-123.05302197833515, 49.24506311970704]], ""type"": ""LineString""}";3' P.U. EASE.;49.24521086199755, -123.05302179303926
"{""coordinates"": [[-123.05121510658151, 49.24611852689247], [-123.05107751231435, 49.24606110827661]], ""type"": ""LineString""}";R.O.W.;49.24608981758454, -123.05114630944792
